ARTICULO	DESCRIP	PRECIO1	PRECIO2	PRECIO3	EXISTENCIA	CANTIDAD 2	C3
119	GASA SIMPLE 10x10cm PRO-MEDICAL	0.86206899	0.775862091	0	0	100	0
120	GASA ESTERIL 10x10cm JALOMA 1pza	1.293103485	0.948275889	0	200	100	0
141	PARCHE ADHESIVO 1 pza ALFAMEDICAL	6.896551923	6.034482932	0	8	10	0
154	PARACETAMOL/CAFEINA 1 tab SARIDON	3	2.5	0	124	10	0
714908105933	ARANDANO 30mg c/60 caps GAM MALEX	85.34483004	56.89655336	0	0	3	0
7501017375622	PAPEL HIGIENICO VOGUE JUMBO 1 PIEZA	5.172413942	4.310344952	0	0	4	0
7501075710250	PARACETAMOL 500mg c/10 tabs ACETIF	7	5.5	0	0	4	0
7501075714715	RANITIDINA 150MG 20 GRAGEAS RAUDIL	16	12.5	0	0	4	0
7501075717402	RANITIDINA 300mg c/10 tab RAUDIL	16	12.5	0	2	4	0
7501109763474	CARBAMAZEPINA 200mg TABS CARBALAN PERRIGO	21	17.5	0	0	6	0
7501130742790	CASTAÑA DE INDIAS 250MG C/30 CAPSULAS FLEBOCAPS	68.96551923	60.34482932	0	3	3	0
7501342800820	PARACETAMOL 500mg c/10 tabs TEMPERAL	7	6	0	20	4	0
7501349024595	BUTILHIOSCINA 20MG/1ML 3 AMPULAS	27	22	0	0	2	0
7501493872387	LOCION VIN.QUASSIA PARA PIOJOS 120ML KILICEL	58.62069134	38.79310456	0	0	2	0
7501537102159	CAPTOPRIL 25mg frasco c/30 tab BRUCAP	25	20	0	0	5	0
7501537102319	METOPROLOL 100mg c/20 tabs NIPRESOL	15	12.5	0	0	4	0
7501537102357	PARACETAMOL 500MG 10 TAB PORTEM	7	5.5	0	0	4	0
7501537102890	RANITIDINA 150mg c/20 tabs  ULCEVIT	16	12.5	0	19	4	0
7501537102906	RANITIDINA 300MG 10 GRAGEAS ULCEVIT	16	12.5	0	8	4	0
7501573900023	RANITIDINA 300MG 10 TABLETAS ULGASTRIN	16	12.5	0	0	4	0
7501573900405	RANITIDINA 150MG 20 TABLETAS ULGASTRIN	16	12.5	0	0	4	0
7501573900443	PARACETAMOL 500MG 10 TABLETAS	7	5.5	0	0	0	0
7501573925071	LISINOPRIL 10mg tabs DOSTERIL BIOMEP	45	42.5	0	2	2	0
75017071	PARACETAMOL 500mg c/10 tabs PHARMACEN T	7	5.5	0	-1	4	0
7502001162976	AC ACETILSALICILICO 100mg AD. c/30 comp. ASPITAK	21	18.75	0	0	4	0
7502001166066	BARMICIL COMPUESTO 40GR CREMA	25	22.5	0	13	3	0
7502001166257	AC ACETILSALICILICO 100MG AD. 30 COMP. ASPITAK	22	18.75	0	0	4	0
7502211780014	AMBROXOL JARABE 120ML	22	1	0	0	0	0
7502216790230	CAPTOPRIL 25mg c/30 tabs REDUPREC	25	20	0	0	5	0
7502216792586	SENOSIDOS A-B 8.6mg c/20 tabs C-MOTIL ULTRA	20	18	0	0	3	0
7502216798373	AC ACETILSALICILICO 100MG AD. 30 COMP. ULTRA	20	19.5	0	9	4	0
7502216799325	IRBESARTAN 150MG 14 TABLETAS	86	72.5	0	0	2	0
7502216804869	ACIDO ACETILSAL 100mg LIBER RETARD AVIVIA	20	17.5	0	0	4	0
7503004908691	PARACETAMOL 500mg c/10tab ALPHARMA	7	6	0	1	4	0
7506295369387	TAMPON VAGINAL TAMPAX PEARL C/8 PIEZAS	38.79310456	25.86206971	0	0	2	0
7507736437658	CONDON PREMIER AZUL MAXIMA SEGURIDAD C/3 PIEZAS	17.24137981	15.51724183	14.22413834	7	5	10
